	날짜	종가	전일비	시가	고가	저가	거래량
0	2018.06.01	31290	190	31120	31405	30995	4611616
1	2018.05.31	31100	125	31120	31170	30975	18580502
2	2018.05.30	30975	675	31515	31525	30795	13822182
3	2018.05.29	31650	295	31900	31945	31645	4686386
4	2018.05.28	31945	135	31945	31990	31875	5619842
5	2018.05.25	31810	50	31615	31890	31605	6965125
6	2018.05.24	31760	100	31925	31940	31675	7344805
7	2018.05.23	31860	215	31630	31885	31605	7286578
8	2018.05.21	31645	50	31665	31745	31380	4952000
9	2018.05.18	31595	100	31555	31610	31495	3787017
10	2018.05.17	31495	115	31705	31815	31485	4361954
11	2018.05.16	31610	100	31405	31695	31375	6580601
12	2018.05.15	31510	290	31780	31845	31470	5743855
13	2018.05.14	31800	65	31945	31975	31755	5904625
14	2018.05.11	31865	195	31810	31985	31805	7231864
15	2018.05.10	31670	215	31625	31730	31550	4840517
16	2018.05.09	31455	105	31565	31620	31280	5881541
17	2018.05.08	31560	145	31855	31925	31515	8028426
18	2018.05.04	31705	255	31935	32015	31705	7777604
19	2018.05.03	31960	110	31965	32065	31855	2749322
20	2018.05.02	32070	230	32185	32250	32025	8195109
21	2018.04.30	32300	210	32185	32305	32140	4494562
22	2018.04.27	32090	290	32120	32315	31985	7854372
23	2018.04.26	32260	400	31970	32385	31950	2562103
24	2018.04.25	31860	205	31840	31905	31705	3176871
25	2018.04.24	32065	180	32300	32310	31930	5352459
26	2018.04.23	32245	20	32190	32305	32145	6805718
27	2018.04.20	32265	215	32325	32405	32230	4767086
28	2018.04.19	32480	180	32395	32545	32350	5642168
29	2018.04.18	32300	355	32155	32410	32135	5895050
30	2018.04.17	31945	45	32025	32115	31890	6695086
31	2018.04.16	31990	25	32130	32155	31905	6373974
32	2018.04.13	31965	210	31870	32020	31815	6843943
33	2018.04.12	31755	5	31870	31945	31755	10373335
34	2018.04.11	31760	100	31885	31995	31740	12790283
35	2018.04.10	31860	30	31710	31955	31450	5828252
36	2018.04.09	31830	220	31580	31875	31560	4307162
37	2018.04.06	31610	155	31535	31700	31445	6384268
38	2018.04.05	31765	435	31550	31920	31520	7580651
39	2018.04.04	31330	490	31860	31875	31305	5962195
40	2018.04.03	31820	65	31585	31820	31505	11930407
41	2018.04.02	31885	75	32025	32205	31865	5388437
42	2018.03.30	31960	80	32115	32195	31960	8620284
43	2018.03.29	31880	260	31655	31945	31550	12777934
44	2018.03.28	31620	395	31675	31690	31435	9416060
45	2018.03.27	32015	135	32110	32130	31945	9218337
46	2018.03.26	31880	275	31525	31880	31365	12178572
47	2018.03.23	31605	1090	32025	32100	31535	9895870
48	2018.03.22	32695	125	32600	32865	32565	9104866
49	2018.03.21	32570	5	32565	32665	32520	4722419
50	2018.03.20	32565	155	32230	32565	32170	6386788
51	2018.03.19	32410	235	32590	32645	32350	6942277
52	2018.03.16	32645	60	32675	32715	32410	5595379
53	2018.03.15	32705	115	32620	32730	32360	5412170
54	2018.03.14	32590	25	32385	32595	32385	4615306
55	2018.03.13	32615	150	32460	32615	32395	4941024
56	2018.03.12	32465	285	32480	32565	32325	6148545
57	2018.03.09	32180	365	31970	32435	31855	8183255
58	2018.03.08	31815	320	31725	31815	31520	7260572
59	2018.03.07	31495	40	31580	31800	31295	5924788
60	2018.03.06	31455	620	31110	31465	31085	8910607
61	2018.03.05	30835	410	31200	31255	30825	10184072
62	2018.03.02	31245	445	31395	31405	31060	7347587
63	2018.02.28	31690	365	31945	32100	31650	7129364
64	2018.02.27	32055	100	32325	32470	32055	6083508
65	2018.02.26	32155	55	32245	32260	32020	6516952
66	2018.02.23	32100	495	31730	32100	31730	13644911
67	2018.02.22	31605	210	31615	31705	31480	6162129
68	2018.02.21	31815	165	31675	31870	31450	9991110
69	2018.02.20	31650	370	31920	31935	31585	5247625
70	2018.02.19	32020	165	32285	32295	31830	10503728
71	2018.02.14	31855	410	31645	31935	31640	5565044
72	2018.02.13	31445	240	31420	31805	31295	9652674
73	2018.02.12	31205	345	31005	31340	30885	14938390
74	2018.02.09	30860	840	31340	31400	30705	15916621
75	2018.02.08	31700	265	31445	31805	31360	11833799
76	2018.02.07	31435	815	32545	32555	31430	10291681
77	2018.02.06	32250	465	32045	32305	31660	17558992
78	2018.02.05	32715	350	32650	32810	32460	15796914
79	2018.02.02	33065	650	33630	33660	33005	12480656
80	2018.02.01	33715	10	33845	33905	33650	4575054
81	2018.01.31	33705	25	33565	34200	33565	18955268
82	2018.01.30	33680	425	34080	34150	33680	16677263
83	2018.01.29	34105	230	34050	34290	34040	11628156
84	2018.01.26	33875	135	33735	33875	33660	7105117
85	2018.01.25	33740	260	33415	33800	33415	10081015
86	2018.01.24	33480	55	33415	33620	33395	8326847
87	2018.01.23	33425	445	33125	33425	33085	11030935
88	2018.01.22	32980	340	33290	33290	32830	4725501
89	2018.01.19	33320	25	33330	33410	33255	5383819
90	2018.01.18	33295	25	33460	33550	33235	8881497
91	2018.01.17	33270	80	33280	33370	33175	6316759
92	2018.01.16	33350	260	33095	33415	33025	5715609
93	2018.01.15	33090	75	33185	33255	32995	7824946
94	2018.01.12	33015	60	33030	33100	32790	5001713
95	2018.01.11	32955	170	33110	33160	32885	4424664
96	2018.01.10	33125	215	33435	33450	33085	9690515
97	2018.01.09	33340	135	33380	33620	33200	7326903
98	2018.01.08	33475	225	33390	33530	33205	7375511
99	2018.01.05	33250	445	32895	33250	32895	7465878
100	2018.01.04	32805	260	33260	33275	32800	8194471
101	2018.01.03	33065	140	33070	33170	32990	6665204
102	2018.01.02	32925	145	32910	33005	32805	4611286
103	2017.12.28	32780	405	32390	32815	32385	7560958
104	2017.12.27	32375	375	32110	32375	32045	12654745
105	2017.12.26	32000	130	32200	32395	32000	7603311
106	2017.12.22	32130	155	32065	32205	31985	8482482
107	2017.12.21	31975	635	32530	32590	31975	8563000
108	2017.12.20	32610	90	32645	32775	32600	7748979
109	2017.12.19	32700	10	32815	32975	32615	6007262
110	2017.12.18	32690	40	32680	32740	32600	5399373
111	2017.12.15	32650	55	32820	32895	32585	8519096
112	2017.12.14	32705	35	32740	33150	32705	7594713
113	2017.12.13	32670	255	32480	32690	32360	7450056
114	2017.12.12	32415	110	32520	32550	32350	9463306
115	2017.12.11	32525	40	32530	32560	32375	8601745
116	2017.12.08	32485	100	32505	32570	32370	10577846
117	2017.12.07	32385	105	32575	32590	32270	10300065
118	2017.12.06	32490	470	32980	32980	32490	8966652
119	2017.12.05	32960	90	32700	33040	32645	7183040
120	2017.12.04	32870	345	32665	32870	32515	7358038
121	2017.12.01	32525	10	32630	32680	32465	7732881
122	2017.11.30	32535	540	32860	32975	32505	7858593
123	2017.11.29	33075	15	33140	33255	33045	4785310
124	2017.11.28	33090	90	33005	33175	32900	9572220
125	2017.11.27	33000	570	33595	33605	32965	8342543
126	2017.11.24	33570	70	33515	33570	33410	8624880
