	날짜	종가	전일비	시가	고가	저가	거래량
0	2018.06.04	9540	60	9580	9580	9535	98478
1	2018.06.01	9600	45	9645	9645	9600	34918
2	2018.05.31	9645	35	9620	9650	9620	16218
3	2018.05.30	9610	20	9620	9630	9595	26695
4	2018.05.29	9590	20	9610	9640	9585	22137
5	2018.05.28	9610	50	9605	9630	9590	42524
6	2018.05.25	9660	85	9660	9660	9620	49376
7	2018.05.24	9575	15	9595	9610	9570	117445
8	2018.05.23	9560	35	9565	9590	9535	42555
9	2018.05.21	9525	40	9585	9585	9505	33801
10	2018.05.18	9565	35	9555	9565	9540	19931
11	2018.05.17	9530	70	9590	9600	9530	26531
12	2018.05.16	9600	135	9600	9610	9570	50848
13	2018.05.15	9735	65	9760	9760	9725	12060
14	2018.05.14	9800	0	9790	9805	9775	14038
15	2018.05.11	9800	50	9795	9800	9765	29032
16	2018.05.10	9750	30	9730	9750	9715	28535
17	2018.05.09	9720	25	9750	9755	9715	19441
18	2018.05.08	9745	0	9745	9760	9725	27589
19	2018.05.04	9745	30	9745	9755	9725	80707
20	2018.05.03	9715	20	9705	9725	9690	14529
21	2018.05.02	9695	70	9695	9725	9680	65183
22	2018.04.30	9765	20	9805	9830	9765	26075
23	2018.04.27	9785	15	9805	9805	9765	24634
24	2018.04.26	9800	50	9820	9825	9800	27754
25	2018.04.25	9850	15	9865	9880	9830	22491
26	2018.04.24	9835	85	9850	9855	9820	36604
27	2018.04.23	9920	70	9900	9925	9885	29778
28	2018.04.20	9990	40	9995	9995	9955	42944
29	2018.04.19	10030	55	10015	10045	10005	50478
30	2018.04.18	9975	5	9990	10005	9965	32595
31	2018.04.17	9980	10	10000	10010	9965	29015
32	2018.04.16	9990	45	10000	10010	9965	27517
33	2018.04.13	9945	80	9925	9965	9925	28458
34	2018.04.12	10025	15	10045	10065	10015	103991
35	2018.04.11	10010	100	9950	10010	9945	34522
36	2018.04.10	9910	5	9940	9940	9890	55140
37	2018.04.09	9905	35	9890	9915	9880	11086
38	2018.04.06	9870	5	9910	9910	9870	10802
39	2018.04.05	9875	55	9925	9925	9875	98156
40	2018.04.04	9930	30	9945	9945	9900	42466
41	2018.04.03	9960	60	9965	9990	9935	27077
42	2018.04.02	9900	45	9885	9905	9855	85673
43	2018.03.30	9945	75	9855	9945	9855	12730
44	2018.03.29	9870	115	9875	9885	9860	22487
45	2018.03.28	9985	70	10020	10020	9980	29631
46	2018.03.27	10055	35	10050	10080	10045	102713
47	2018.03.26	10020	30	10050	10050	9990	78843
48	2018.03.23	9990	110	9935	9990	9905	57830
49	2018.03.22	9880	95	9895	9925	9870	35336
50	2018.03.21	9785	15	9770	9785	9740	17878
51	2018.03.20	9800	55	9805	9805	9775	18490
52	2018.03.19	9745	45	9790	9790	9730	14015
53	2018.03.16	9790	90	9805	9810	9780	12576
54	2018.03.15	9880	25	9855	9895	9850	37141
55	2018.03.14	9855	45	9855	9895	9840	118955
56	2018.03.13	9810	50	9880	9880	9810	21933
57	2018.03.12	9860	65	9835	9860	9820	63175
58	2018.03.09	9795	70	9820	9850	9785	73852
59	2018.03.08	9865	60	9875	9890	9845	18797
60	2018.03.07	9925	60	9960	9975	9915	30615
61	2018.03.06	9865	35	9850	9865	9820	157200
62	2018.03.05	9900	75	9860	9905	9845	32694
63	2018.03.02	9825	0	9825	9830	9795	22648
64	2018.02.28	9825	130	9825	9835	9795	59154
65	2018.02.27	9955	35	9995	9995	9920	30633
66	2018.02.26	9990	110	9900	9990	9875	54635
67	2018.02.23	9880	30	9905	9935	9880	36684
68	2018.02.22	9850	50	9900	9900	9850	151154
69	2018.02.21	9900	100	9900	9920	9880	121036
70	2018.02.20	10000	70	10045	10045	9975	79590
71	2018.02.19	10070	115	10045	10475	10025	341628
72	2018.02.14	9955	45	9935	9970	9915	69069
73	2018.02.13	9910	25	9885	9915	9845	121207
74	2018.02.12	9885	50	9830	9885	9820	43915
75	2018.02.09	9835	45	9870	9870	9800	41148
76	2018.02.08	9790	145	9845	9845	9750	42298
77	2018.02.07	9935	90	9900	9935	9880	51209
78	2018.02.06	10025	105	9980	10045	9965	151619
79	2018.02.05	9920	135	9945	9945	9905	38472
80	2018.02.02	10055	45	10045	10070	10035	41485
81	2018.02.01	10010	25	10045	10050	10000	103790
82	2018.01.31	10035	65	9980	10035	9960	70401
83	2018.01.30	9970	100	10020	10020	9945	38175
84	2018.01.29	10070	45	10095	10100	10050	34124
85	2018.01.26	10115	100	10065	10115	10050	43006
