	날짜	종가	전일비	시가	고가	저가	거래량
0	2018.06.04	100770	15	100770	100775	100770	11391
1	2018.06.01	100755	0	100760	100765	100755	11448
2	2018.05.31	100755	10	100755	100760	100750	33715
3	2018.05.30	100745	10	100740	100745	100740	26425
4	2018.05.29	100735	5	100740	100740	100735	15224
5	2018.05.28	100740	5	100735	100740	100735	20810
6	2018.05.25	100735	10	100730	100735	100730	11888
7	2018.05.24	100725	15	100720	100725	100720	12596
8	2018.05.23	100710	0	100715	100715	100710	11114
9	2018.05.21	100710	10	100710	100715	100705	26279
10	2018.05.18	100700	10	100695	100700	100695	19999
11	2018.05.17	100690	20	100690	100690	100685	10933
12	2018.05.16	100670	10	100665	100670	100665	13733
13	2018.05.15	100660	0	100660	100670	100660	19864
14	2018.05.14	100660	5	100655	100660	100655	9902
15	2018.05.11	100655	5	100655	100655	100650	66618
16	2018.05.10	100650	10	100645	100650	100645	23551
17	2018.05.09	100640	5	100635	100645	100635	33516
18	2018.05.08	100635	5	100640	100645	100635	14681
19	2018.05.04	100640	5	100635	100640	100635	37456
20	2018.05.03	100635	20	100630	100635	100630	13548
21	2018.05.02	100615	5	100610	100620	100610	55457
22	2018.04.30	100610	10	100605	100610	100605	26196
23	2018.04.27	100600	5	100600	100605	100600	37908
24	2018.04.26	100595	15	100585	100595	100585	16788
25	2018.04.25	100580	10	100575	100580	100575	16485
26	2018.04.24	100570	5	100570	100580	100570	12432
27	2018.04.23	100565	0	100565	100570	100560	17245
28	2018.04.20	100565	0	100565	100570	100560	28036
29	2018.04.19	100565	15	100560	100565	100560	18121
30	2018.04.18	100550	10	100545	100555	100545	55548
31	2018.04.17	100540	0	100540	100545	100540	7245
32	2018.04.16	100540	5	100540	100545	100535	13213
33	2018.04.13	100535	5	100530	100535	100530	23369
34	2018.04.12	100530	10	100525	100530	100525	57184
35	2018.04.11	100520	15	100515	100520	100515	31204
36	2018.04.10	100505	5	100500	100510	100500	32284
37	2018.04.09	100510	10	100500	100510	100500	63272
38	2018.04.06	100500	10	100500	100500	100495	19909
39	2018.04.05	100490	10	100490	100495	100490	9607
40	2018.04.04	100480	10	100475	100480	100470	15651
41	2018.04.03	100470	5	100465	100470	100465	30957
42	2018.04.02	100465	5	100460	100465	100460	20392
43	2018.03.30	100460	10	100460	100460	100455	15107
44	2018.03.29	100450	5	100450	100455	100445	24880
45	2018.03.28	100445	15	100435	100445	100435	6564
