	날짜	종가	전일비	시가	고가	저가	거래량
0	2018.06.01	12995	50	12985	12995	12945	14205
1	2018.05.31	13045	100	12980	13045	12980	21755
2	2018.05.30	12945	100	12885	12945	12845	122716
3	2018.05.29	13045	50	13050	13050	13045	401
4	2018.05.28	13095	10	13080	13100	13000	74671
5	2018.05.25	13085	25	13035	13105	13035	9658
6	2018.05.24	13060	25	13020	13070	13020	142544
7	2018.05.23	13035	30	13060	13060	13010	10231
8	2018.05.21	13065	15	13050	13080	13030	26371
9	2018.05.18	13050	15	13035	13055	13005	3092
10	2018.05.17	13035	70	13040	13055	13005	3210
11	2018.05.16	12965	65	12925	12985	12925	5400
12	2018.05.15	13030	80	13065	13065	12990	4111
13	2018.05.14	13110	90	13100	13120	13065	6967
14	2018.05.11	13020	85	13035	13055	12985	14191
15	2018.05.10	12935	145	12865	12935	12865	3280
16	2018.05.09	12790	10	12735	12795	12730	6207
17	2018.05.08	12780	190	12730	12790	12730	4563
18	2018.05.04	12590	10	12585	12620	12550	14278
19	2018.05.03	12600	100	12585	12600	12560	4734
20	2018.05.02	12700	105	12715	12715	12645	13553
21	2018.04.30	12805	20	12785	12805	12785	11239
22	2018.04.27	12785	135	12710	12790	12710	8385
23	2018.04.26	12650	55	12640	12705	12635	12966
24	2018.04.25	12595	185	12625	12635	12570	1658
25	2018.04.24	12780	25	12745	12800	12745	414
26	2018.04.23	12805	75	12820	12835	12780	4693
27	2018.04.20	12880	85	12890	12900	12845	2872
28	2018.04.19	12965	25	12945	12995	12945	3681
29	2018.04.18	12940	75	12920	12975	12920	372
30	2018.04.17	12865	100	12820	12865	12800	1160
31	2018.04.16	12765	15	12750	12795	12720	7761
32	2018.04.13	12750	95	12675	12750	12675	12076
33	2018.04.12	12655	15	12670	12690	12620	3738
34	2018.04.11	12640	35	12665	12665	12610	362
35	2018.04.10	12675	105	12515	12710	12510	611
36	2018.04.09	12570	70	12550	12675	12480	304535
37	2018.04.06	12640	85	12620	12650	12565	2129
38	2018.04.05	12725	300	12695	12745	12645	5180
39	2018.04.04	12425	70	12470	12475	12425	3635
40	2018.04.03	12355	245	12360	12385	12350	9700
41	2018.04.02	12600	20	12610	12620	12580	51096
42	2018.03.30	12620	130	12580	12670	12580	14137
43	2018.03.29	12490	15	12445	12495	12445	253257
44	2018.03.28	12505	265	12500	12530	12450	9290
45	2018.03.27	12770	245	12700	12775	12700	2243
46	2018.03.26	12525	55	12455	12540	12455	12864
47	2018.03.23	12580	440	12585	12615	12530	12500
48	2018.03.22	13020	25	13015	13035	12995	3289
49	2018.03.21	12995	60	13020	13025	12995	4443
50	2018.03.20	13055	90	13010	13055	12975	460310
51	2018.03.19	13145	40	13175	13175	13100	1406
52	2018.03.16	13185	15	13200	13200	13150	7679
53	2018.03.15	13200	30	13190	13210	13135	2404
54	2018.03.14	13230	80	13200	13230	13200	552
55	2018.03.13	13310	105	13295	13340	13295	1765
56	2018.03.12	13415	315	13380	13415	13345	10150
57	2018.03.09	13100	45	13100	13130	13085	856
58	2018.03.08	13055	185	13010	13065	13005	1887
59	2018.03.07	12870	160	12890	12945	12855	4342
60	2018.03.06	13030	215	13030	13040	12995	4324
61	2018.03.05	12815	25	12840	12880	12795	10493
62	2018.03.02	12840	285	12850	12850	12775	18323
63	2018.02.28	13125	190	13200	13200	13110	6163
64	2018.02.27	13315	115	13350	13350	13310	4008
65	2018.02.26	13200	165	13150	13200	13115	13038
66	2018.02.23	13035	125	12975	13060	12975	1605
67	2018.02.22	12910	90	12905	12910	12845	6602
68	2018.02.21	13000	70	13035	13045	12950	1278
69	2018.02.20	13070	95	13095	13105	13050	9682
70	2018.02.19	13165	410	13100	13170	13100	4200
71	2018.02.14	12755	65	12780	12780	12740	745
72	2018.02.13	12690	50	12720	12750	12655	35378
73	2018.02.12	12640	150	12590	12650	12590	43141
74	2018.02.09	12490	330	12400	12520	12375	5997
75	2018.02.08	12820	65	12670	12820	12670	11394
76	2018.02.07	12755	340	12875	12905	12755	142381
77	2018.02.06	12415	800	12585	12630	12150	161870
78	2018.02.05	13215	325	13135	13220	13135	4320
79	2018.02.02	13540	80	13590	13590	13495	3339
80	2018.02.01	13620	45	13610	13630	13575	4989
81	2018.01.31	13575	60	13525	13615	13525	7106
82	2018.01.30	13635	145	13740	13740	13600	55435
83	2018.01.29	13780	125	13825	13830	13780	6555
84	2018.01.26	13655	10	13625	13675	13625	1956
85	2018.01.25	13645	5	13635	13650	13610	1123
86	2018.01.24	13640	20	13640	13650	13615	4872
87	2018.01.23	13620	135	13615	13645	13585	53518
88	2018.01.22	13485	60	13480	13485	13450	21101
89	2018.01.19	13425	45	13470	13470	13410	2008
90	2018.01.18	13470	90	13445	13485	13440	26166
91	2018.01.17	13380	30	13370	13385	13335	5180
92	2018.01.16	13410	20	13420	13435	13380	13507
93	2018.01.15	13430	120	13440	13440	13395	21502
94	2018.01.12	13310	85	13265	13310	13260	3053
95	2018.01.11	13225	10	13210	13235	13190	2044
96	2018.01.10	13215	45	13225	13225	13175	4959
97	2018.01.09	13170	20	13190	13205	13165	13373
98	2018.01.08	13190	85	13195	13195	13170	5150
99	2018.01.05	13105	85	13105	13105	13070	9854
100	2018.01.04	13020	80	13025	13035	13005	2820
101	2018.01.03	12940	85	12945	12950	12940	4645
102	2018.01.02	12855	50	12840	12880	12825	51656
103	2017.12.28	12905	5	12865	12910	12865	278
104	2017.12.27	12900	0	12900	12900	12875	218
105	2017.12.26	12900	25	12915	12915	12860	22553
106	2017.12.22	12925	75	12920	12925	12880	1195
107	2017.12.21	12850	75	12880	12890	12850	2190
108	2017.12.20	12925	15	12870	12925	12870	1330
109	2017.12.19	12940	25	12915	12945	12905	6968
110	2017.12.18	12915	140	12865	12915	12865	1732
111	2017.12.15	12775	5	12750	12775	12715	7468
112	2017.12.14	12780	20	12795	12795	12780	956
113	2017.12.13	12760	45	12805	12805	12740	1590
114	2017.12.12	12805	85	12770	12810	12770	1673
115	2017.12.11	12720	10	12730	12765	12715	2203
116	2017.12.08	12730	60	12715	12730	12630	583
117	2017.12.07	12670	50	12620	12675	12620	1398
118	2017.12.06	12620	115	12655	12655	12590	98
119	2017.12.05	12735	45	12710	12740	12675	1263
120	2017.12.04	12780	80	12785	12790	12745	4508
121	2017.12.01	12700	80	12700	12705	12670	38008
122	2017.11.30	12620	35	12575	12625	12575	18740
123	2017.11.29	12585	90	12580	12615	12575	1757
124	2017.11.28	12495	10	12485	12495	12455	257
125	2017.11.27	12485	5	12505	12505	12450	3002
126	2017.11.24	12490	20	12485	12495	12440	1052
127	2017.11.23	12470	15	12475	12475	12470	1680
128	2017.11.22	12485	80	12435	12485	12435	169
129	2017.11.21	12405	60	12405	12415	12365	491
130	2017.11.20	12345	70	12380	12385	12315	3142
131	2017.11.17	12415	85	12430	12430	12375	1156
132	2017.11.16	12330	30	12345	12370	12315	887
133	2017.11.15	12360	5	12380	12380	12315	283
134	2017.11.14	12355	45	12400	12400	12355	177
135	2017.11.13	12400	15	12415	12425	12365	3576
136	2017.11.10	12415	45	12420	12435	12380	569
137	2017.11.09	12460	45	12455	12460	12455	1029
138	2017.11.08	12415	20	12405	12420	12405	1456
139	2017.11.07	12435	65	12440	12440	12435	39
140	2017.11.06	12370	25	12425	12425	12355	25362
141	2017.11.03	12395	40	12395	12395	12350	3431
142	2017.11.02	12355	40	12375	12375	12315	107
143	2017.11.01	12395	50	12375	12395	12375	7068
144	2017.10.31	12345	30	12340	12350	12325	185
145	2017.10.30	12375	55	12370	12380	12335	2166
146	2017.10.27	12320	25	12310	12320	12265	2752
147	2017.10.26	12295	25	12295	12300	12285	685
148	2017.10.25	12320	10	12325	12325	12285	135
149	2017.10.24	12310	60	12325	12330	12290	241
150	2017.10.23	12370	35	12380	12380	12365	1181
151	2017.10.20	12335	40	12305	12345	12305	212
152	2017.10.19	12295	5	12300	12300	12285	759
153	2017.10.18	12290	40	12290	12290	12285	472
154	2017.10.17	12250	30	12280	12285	12250	749
155	2017.10.16	12280	20	12275	12280	12235	2827
156	2017.10.13	12260	15	12260	12265	12205	6289
157	2017.10.12	12275	70	12225	12290	12225	2227
158	2017.10.11	12205	45	12255	12255	12205	232
159	2017.10.10	12250	210	12190	12250	12190	11391
160	2017.09.29	12040	5	12040	12045	12000	3030
161	2017.09.28	12035	50	12025	12040	12025	1479
162	2017.09.27	11985	35	11990	11990	11985	1005
163	2017.09.26	11950	50	11995	11995	11950	217
164	2017.09.25	12000	10	12030	12030	12000	2325
165	2017.09.22	11990	35	12035	12035	11975	421
166	2017.09.21	12025	10	12040	12040	12000	78036
167	2017.09.20	12035	25	12030	12035	12015	291
168	2017.09.19	12010	25	12030	12035	11990	116
169	2017.09.18	12035	105	11980	12035	11980	1519
170	2017.09.15	11930	45	11955	11975	11930	147
171	2017.09.14	11975	45	11975	11975	11940	538
172	2017.09.13	11930	20	11985	11985	11930	75
173	2017.09.12	11950	110	11950	11950	11905	313
174	2017.09.11	11840	15	11860	11880	11840	1340
175	2017.09.08	11825	0	11835	11840	11820	565
176	2017.09.07	11825	25	11825	11830	11795	1675
177	2017.09.06	11800	25	11810	11815	11770	146
178	2017.09.05	11825	5	11865	11865	11820	752
179	2017.09.04	11830	35	11840	11845	11795	1144
180	2017.09.01	11865	65	11870	11870	11825	567
181	2017.08.31	11800	20	11795	11800	11760	132
182	2017.08.30	11780	145	11755	11780	11715	321
183	2017.08.29	11635	75	11680	11680	11630	1742
184	2017.08.28	11710	15	11720	11720	11705	562
185	2017.08.25	11695	20	11750	11750	11680	627
