	날짜	종가	전일비	시가	고가	저가	거래량
0	2018.06.04	109925	60	109980	109980	109910	56
1	2018.06.01	109985	25	109910	109985	109910	33
2	2018.05.31	109960	5	109945	109980	109945	62
3	2018.05.30	109955	100	110060	110060	109955	62
4	2018.05.29	109855	25	109890	109890	109845	119
5	2018.05.28	109830	60	109945	109945	109830	53
6	2018.05.25	109890	40	109950	109950	109890	8
7	2018.05.24	109930	180	109895	109930	109805	17
8	2018.05.23	109750	55	109750	109750	109750	2
9	2018.05.21	109695	5	109695	109695	109695	25
10	2018.05.18	109690	115	109540	109690	109540	105
11	2018.05.17	109575	100	109580	109680	109560	209
12	2018.05.16	109475	0	109440	109475	109440	3
13	2018.05.15	109475	10	109595	109595	109415	40
14	2018.05.14	109485	30	109635	109635	109475	134
15	2018.05.11	109515	15	109580	109580	109515	7
16	2018.05.10	109530	80	109490	109530	109450	1582
17	2018.05.09	109450	50	109480	109480	109400	389
18	2018.05.08	109400	85	109445	109445	109335	76
19	2018.05.04	109485	135	109600	109600	109455	222
20	2018.05.03	109620	20	109635	109635	109575	50
21	2018.05.02	109600	115	109695	109695	109580	178
22	2018.04.30	109715	35	109685	109715	109685	260
23	2018.04.27	109680	165	109490	109680	109490	319
24	2018.04.26	109515	15	109515	109565	109500	16
25	2018.04.25	109530	85	109530	109585	109530	80
26	2018.04.24	109615	55	109555	109615	109555	16
27	2018.04.23	109560	70	109620	109620	109550	187
28	2018.04.20	109630	40	109630	109630	109630	0
29	2018.04.19	109590	150	109690	109690	109590	104
30	2018.04.18	109740	25	109740	109770	109740	129
31	2018.04.17	109715	55	109710	109715	109710	2
32	2018.04.16	109770	10	109775	109775	109710	8
33	2018.04.13	109780	30	109780	109780	109780	31
34	2018.04.12	109750	45	109770	109770	109750	196
35	2018.04.11	109705	35	109670	109705	109670	8
36	2018.04.10	109670	65	109720	109735	109670	237
37	2018.04.09	109735	75	109640	109735	109640	14
38	2018.04.06	109660	25	109730	109730	109660	9
39	2018.04.05	109635	10	109635	109645	109635	189
40	2018.04.04	109645	55	109595	109645	109575	233
41	2018.04.03	109590	100	109565	109590	109525	149
42	2018.04.02	109490	30	109340	109495	109340	639
43	2018.03.30	109520	5	109495	109520	109495	5
44	2018.03.29	109515	25	109515	109515	109515	99
45	2018.03.28	109490	100	109440	109490	109410	10
46	2018.03.27	109390	80	109390	109390	109390	7
47	2018.03.26	109470	80	109400	109475	109400	13
48	2018.03.23	109390	90	109370	109390	109370	212
49	2018.03.22	109300	125	109310	109310	109300	134
50	2018.03.21	109175	20	109175	109175	109175	31
51	2018.03.20	109155	15	109155	109155	109155	5
52	2018.03.19	109170	40	109205	109205	109125	117
53	2018.03.16	109210	45	109210	109250	109205	39
54	2018.03.15	109255	100	109185	109290	109185	35
55	2018.03.14	109155	125	109160	109160	109155	36
56	2018.03.13	109030	25	109055	109055	109030	56
57	2018.03.12	109055	45	109210	109210	109055	9
58	2018.03.09	109100	0	109090	109100	109090	83
59	2018.03.08	109100	100	109150	109150	109015	100
60	2018.03.07	109000	50	108990	109000	108975	42
61	2018.03.06	109280	55	109335	109335	109280	1018
62	2018.03.05	109335	115	109295	109365	109210	282
63	2018.03.02	109450	45	109630	109630	109450	169
64	2018.02.28	109405	20	109385	109405	109380	257
65	2018.02.27	109385	75	109360	109415	109360	592
66	2018.02.26	109310	20	109335	109380	109310	553
67	2018.02.23	109290	85	109220	109290	109220	1110
68	2018.02.22	109205	10	109190	109205	109130	37
69	2018.02.21	109195	65	109155	109195	109145	58
70	2018.02.20	109130	20	109135	109140	109120	22
71	2018.02.19	109150	90	109225	109225	109150	71
72	2018.02.14	109240	60	109225	109240	109225	40
73	2018.02.13	109180	20	109180	109180	109180	11
74	2018.02.12	109160	70	109200	109200	109125	29
75	2018.02.09	109230	55	109365	109365	109205	132
76	2018.02.08	109175	0	109175	109175	109175	0
77	2018.02.07	109175	15	109175	109265	109160	81
78	2018.02.06	109190	75	109135	109190	109100	55
79	2018.02.05	109115	0	108760	109125	108760	71
80	2018.02.02	109115	50	109065	109115	108960	117
81	2018.02.01	109065	90	109225	109225	108995	209
