	날짜	종가	전일비	시가	고가	저가	거래량
0	2018.06.04	11005	35	10995	11005	10980	25937
1	2018.06.01	11040	20	11075	11075	11030	5288
2	2018.05.31	11060	30	11060	11065	11020	13658
3	2018.05.30	11090	40	11070	11115	11070	37613
4	2018.05.29	11050	25	11025	11055	11020	6939
5	2018.05.28	11025	35	11045	11045	10995	14924
6	2018.05.25	11060	20	11105	11105	11045	27468
7	2018.05.24	11080	0	11050	11105	11050	3907
8	2018.05.23	11080	50	11105	11105	11045	7585
9	2018.05.21	11130	70	11065	11140	11060	23184
10	2018.05.18	11060	25	11095	11095	11055	13963
11	2018.05.17	11085	30	11055	11085	11050	41384
12	2018.05.16	11055	40	11045	11085	11030	25013
13	2018.05.15	11015	60	10950	11020	10950	23187
14	2018.05.14	10955	15	10980	10980	10920	19959
15	2018.05.11	10970	40	11020	11020	10935	32255
16	2018.05.10	11010	70	11055	11080	10990	18861
17	2018.05.09	11080	35	11070	11100	11055	17587
18	2018.05.08	11045	5	11050	11070	11025	16247
19	2018.05.04	11040	5	11035	11045	11020	21675
20	2018.05.03	11035	0	11060	11065	11015	13102
21	2018.05.02	11035	80	10990	11045	10985	20721
22	2018.04.30	10955	85	10960	10960	10920	12075
23	2018.04.27	11040	35	11040	11045	11000	8226
24	2018.04.26	11075	5	11080	11080	11040	30106
25	2018.04.25	11070	45	11025	11075	11010	49898
26	2018.04.24	11025	75	10985	11045	10985	62450
27	2018.04.23	10950	15	10955	10965	10920	25648
28	2018.04.20	10935	55	10900	10945	10900	11192
29	2018.04.19	10880	70	10920	10930	10845	18377
30	2018.04.18	10950	20	10920	10950	10895	16902
31	2018.04.17	10930	65	10960	10960	10920	17399
32	2018.04.16	10995	40	10955	11000	10950	42922
33	2018.04.13	10955	5	10960	10970	10935	13887
34	2018.04.12	10950	30	10915	10960	10900	13031
35	2018.04.11	10920	5	10900	10935	10890	13368
36	2018.04.10	10925	0	10940	10970	10890	17885
37	2018.04.09	10925	20	10960	10960	10900	22848
38	2018.04.06	10945	90	10865	10945	10865	35871
39	2018.04.05	10855	15	10795	10875	10795	12837
40	2018.04.04	10840	50	10790	10850	10785	27181
41	2018.04.03	10790	25	10810	10835	10790	59885
42	2018.04.02	10815	75	10890	10890	10805	101724
43	2018.03.30	10890	15	10860	10900	10860	17970
44	2018.03.29	10905	40	10905	10945	10880	29584
45	2018.03.28	10945	0	10965	10980	10880	50692
46	2018.03.27	10945	95	10985	10995	10925	51404
47	2018.03.26	11040	5	11045	11050	11015	30396
48	2018.03.23	11045	85	11000	11050	11000	100336
49	2018.03.22	10960	0	10995	10995	10880	23453
50	2018.03.21	10960	30	10935	10960	10935	36326
51	2018.03.20	10930	30	10960	10970	10920	21103
52	2018.03.19	10960	55	10900	10960	10900	140078
53	2018.03.16	10905	10	10910	10955	10905	8612
54	2018.03.15	10895	10	10895	10910	10860	17641
55	2018.03.14	10885	30	10905	10925	10865	19450
56	2018.03.13	10915	25	10890	10915	10870	19427
57	2018.03.12	10890	45	10920	10920	10860	79317
58	2018.03.09	10935	5	10945	10960	10905	28881
59	2018.03.08	10940	5	10920	10940	10900	16000
60	2018.03.07	10935	65	10905	10940	10900	167721
61	2018.03.06	11000	65	11015	11015	10975	33825
62	2018.03.05	11065	20	11035	11065	11005	27333
63	2018.03.02	11045	25	11080	11080	11030	31008
64	2018.02.28	11070	115	11020	11075	11020	54836
65	2018.02.27	10955	15	10970	10970	10920	83211
66	2018.02.26	10970	50	10970	10990	10955	120247
67	2018.02.23	11020	60	11060	11060	10995	38659
68	2018.02.22	11080	85	10990	11080	10990	43974
69	2018.02.21	10995	30	10950	11000	10950	47306
70	2018.02.20	10965	60	10930	10965	10910	19538
71	2018.02.19	10905	100	11000	11000	10895	143470
72	2018.02.14	11005	75	11085	11085	10985	160311
73	2018.02.13	11080	0	11080	11080	11030	152082
74	2018.02.12	11080	70	11150	11150	11040	199722
75	2018.02.09	11150	45	11180	11200	11115	180454
76	2018.02.08	11105	10	11100	11135	11080	209928
77	2018.02.07	11095	45	11055	11095	11015	243805
78	2018.02.06	11140	25	11200	11210	11110	276901
79	2018.02.05	11115	90	11120	11150	11100	211025
80	2018.02.02	11025	80	10960	11030	10930	232616
